orbit_id,canonical_3x3_pattern_row_major,integer_weight_scale_1e6
0,000000000,765030
1,000000001,706287
2,000000010,1000000
3,000000011,115235
4,000000101,765030
5,000000111,-95329
6,000001010,359767
7,000001011,-612722
8,000001100,941257
9,000001101,-80899
10,000001110,205170
11,000001111,-352569
12,000010000,1000000
13,000010001,801118
14,000010010,-1000000
15,000010011,-915647
16,000010101,-109320
17,000010111,-766155
18,000011010,-1000000
19,000011011,-544677
20,000011100,-944738
21,000011101,-1000000
22,000011110,-509526
23,000011111,227661
24,000101000,1000000
25,000101001,370112
26,000101010,220721
27,000101011,-240341
28,000101101,-1000000
29,000101111,-910885
30,000111000,-1000000
31,000111001,-1000000
32,000111010,-946855
33,000111011,-720958
34,000111101,-829111
35,000111111,26108
36,001000100,647544
37,001000101,823772
38,001000110,56492
39,001000111,-291463
40,001001110,-666475
41,001001111,-666475
42,001010100,600825
43,001010101,-1000000
44,001010110,-581722
45,001010111,-438741
46,001011110,-19052
47,001011111,1000000
48,001100001,1000000
49,001100010,301024
50,001100011,9036
51,001100101,-22156
52,001100110,-671465
53,001100111,-548703
54,001101001,414424
55,001101010,-801612
56,001101011,-127199
57,001101100,-1000000
58,001101101,-1000000
59,001101110,-1000000
60,001101111,-950156
61,001110001,-1000000
62,001110010,-1000000
63,001110011,-950383
64,001110101,-1000000
65,001110110,-547500
66,001110111,-175093
67,001111001,-939094
68,001111010,-928509
69,001111011,-419336
70,001111100,-974598
71,001111101,-738569
72,001111110,-701201
73,001111111,317851
74,010101010,-1000000
75,010101011,-560895
76,010101101,-1000000
77,010101111,-130978
78,010111010,-1000000
79,010111011,-985182
80,010111101,-763266
81,010111111,-449196
82,011100101,-1000000
83,011100111,-1000000
84,011101110,-1000000
85,011101111,-954617
86,011110101,-879598
87,011110111,-235747
88,011111110,-1000000
89,011111111,57155
90,101000101,1000000
91,101000111,-370112
92,101001111,-1000000
93,101010101,-1000000
94,101010111,-1000000
95,101011111,197314
96,101101101,-1000000
97,101101111,-841812
98,101111101,-484194
99,101111111,783305
100,111101111,-1000000
101,111111111,1000000
